ID,Strategy,Task,Accuracy,Macro F1
1A,One-Shot,Clarity (A),0.23376623376623376,0.2285917320242263
2A,Three-Shot,Clarity (A),0.2727272727272727,0.2733420075503751
3A,Nine-Shot,Clarity (A),0.2662337662337662,0.26239405996818393
4A,Dynamic,Clarity (A),0.38636363636363635,0.37058585936297894
5A,Nine-Shot+Tone,Clarity (A),0.34415584415584416,0.36098982548345804
1B,One-Shot,Evasion (B),0.11688311688311688,0.11721038817813012
2B,Three-Shot,Evasion (B),0.30194805194805197,0.23252426670408827
3B,Nine-Shot,Evasion (B),0.38636363636363635,0.28809985315909814
4B,Dynamic,Evasion (B),0.24675324675324675,0.19668945782269512
5B,Nine-Shot+Tone,Evasion (B),0.37012987012987014,0.26905499409557027
1C,One-Shot,Mapping (C),0.2305194805194805,0.28519875317330246
2C,Three-Shot,Mapping (C),0.6948051948051948,0.5451131524302256
3C,Nine-Shot,Mapping (C),0.685064935064935,0.6082438926805213
4C,Dynamic,Mapping (C),0.5584415584415584,0.45997548125064336
5C,Nine-Shot+Tone,Mapping (C),0.6233766233766234,0.549801576449282
